,artist,track,uri,time,ms_played
23205,Ritt Momney,Put Your Records On,spotify:track:6AGOKlMZWLCaEJGnaROtF9,2022-05-24 20:45,210463
23206,Guns N' Roses,Live And Let Die,spotify:track:0rFWuqFgHAfuzE8uSB9TWR,2022-05-24 20:48,182733
23207,Denzel Curry,ZUU,spotify:track:5sG65w8uKtjsJw7nc845Nc,2022-05-24 20:50,126000
23208,Goodbye June,Live in the Now,spotify:track:2ta62IN8b3kM4EqqiI7LOF,2022-05-24 20:53,1040
23209,Ellie Goulding,Slow Grenade,spotify:track:5z8uLrYMcUVvzTV28twt44,2022-05-24 20:53,2866
23210,88rising,California (feat. Warren Hue),spotify:track:3Qj2f7BrpJNGj3dbxKpOlp,2022-05-24 20:53,1020
23211,chloe moriondo,Dizzy (feat. Thomas Headon and Alfie Templeman),spotify:track:3Gplr4iOpewQ9ynbZujzlu,2022-05-24 20:53,1050
23212,LOOPRAT,Cypher,spotify:track:5hDozqohP4JL3u6hVqi1gs,2022-05-24 20:53,1210
23213,Surfaces,Sunny Side Up,spotify:track:6amgTQrn3KDLFxTG2AhWUA,2022-05-24 20:53,171133
23214,Drake,Landed,spotify:track:3KixNgUEaDtrKJVzdqjU5q,2022-05-24 20:54,980
23215,Jack Harlow,Automatic,spotify:track:4t6PoAHfGZ1cV90DiObtWx,2022-05-24 20:54,800
